ensembl_gene_id external_gene_name
ENSG00000115844 DLX2
ENSG00000115902 SLC1A4
ENSG00000115946 PNO1
ENSG00000116120 FARSB
ENSG00000116141 MARK1
ENSG00000116260 QSOX1
ENSG00000116285 ERRFI1
ENSG00000116649 SRM
ENSG00000116667 C1orf21
ENSG00000116990 MYCL
ENSG00000117020 AKT3
ENSG00000117115 PADI2
ENSG00000117143 UAP1
ENSG00000117318 ID3
ENSG00000117394 SLC2A1
ENSG00000117395 EBNA1BP2
ENSG00000117519 CNN3
ENSG00000117525 F3
ENSG00000117984 CTSD
ENSG00000118515 SGK1
ENSG00000118596 SLC16A7
ENSG00000118961 LDAH
ENSG00000118971 CCND2
ENSG00000119326 CTNNAL1
ENSG00000119408 NEK6
ENSG00000119669 IRF2BPL
ENSG00000119681 LTBP2
ENSG00000119718 EIF2B2
ENSG00000119866 BCL11A
ENSG00000119888 EPCAM
ENSG00000119917 IFIT3
ENSG00000119922 IFIT2
ENSG00000120129 DUSP1
ENSG00000120254 MTHFD1L
ENSG00000120526 NUDCD1
ENSG00000120708 TGFBI
ENSG00000120738 EGR1
ENSG00000120875 DUSP4
ENSG00000120949 TNFRSF8
ENSG00000121552 CSTA
ENSG00000121742 GJB6
ENSG00000121858 TNFSF10
ENSG00000121895 TMEM156
ENSG00000122378 PRXL2A
ENSG00000122641 INHBA
ENSG00000122678 POLM
ENSG00000122729 ACO1
ENSG00000122861 PLAU
ENSG00000123080 CDKN2C
ENSG00000123143 PKN1
ENSG00000123213 NLN
ENSG00000123384 LRP1
ENSG00000124107 SLPI
ENSG00000124120 TTPAL
ENSG00000124225 PMEPA1
ENSG00000124466 LYPD3
ENSG00000124762 CDKN1A
ENSG00000125398 SOX9
ENSG00000125538 IL1B
ENSG00000125731 SH2D3A
ENSG00000125740 FOSB
ENSG00000125798 FOXA2
ENSG00000125841 NRSN2
ENSG00000125848 FLRT3
ENSG00000125968 ID1
ENSG00000126709 IFI6
ENSG00000126749 EMG1
ENSG00000127129 EDN2
ENSG00000127152 BCL11B
ENSG00000128016 ZFP36
ENSG00000128340 RAC2
ENSG00000128422 KRT17
ENSG00000128710 HOXD10
ENSG00000129451 KLK10
ENSG00000129757 CDKN1C
ENSG00000129824 RPS4Y1
ENSG00000130119 GNL3L
ENSG00000130303 BST2
ENSG00000130508 PXDN
ENSG00000130589 HELZ2
ENSG00000130600 H19
ENSG00000130707 ASS1
ENSG00000130734 ATG4D
ENSG00000130940 CASZ1
ENSG00000131016 AKAP12
ENSG00000131171 SH3BGRL
ENSG00000131435 PDLIM4
ENSG00000131584 ACAP3
ENSG00000131620 ANO1
ENSG00000131724 IL13RA1
ENSG00000132170 PPARG
ENSG00000132561 MATN2
ENSG00000132613 MTSS2
ENSG00000132746 ALDH3B2
ENSG00000132854 KANK4
ENSG00000133056 PIK3C2B
ENSG00000133135 RNF128
ENSG00000133401 PDZD2
ENSG00000133678 TMEM254
ENSG00000133816 MICAL2
ENSG00000134070 IRAK2
ENSG00000134215 VAV3
ENSG00000134317 GRHL1
ENSG00000134321 RSAD2
ENSG00000134363 FST
ENSG00000134686 PHC2
ENSG00000134755 DSC2
ENSG00000134757 DSG3
ENSG00000134762 DSC3
ENSG00000134775 FHOD3
ENSG00000134802 SLC43A3
ENSG00000134871 COL4A2
ENSG00000134954 ETS1
ENSG00000135046 ANXA1
ENSG00000135074 ADAM19
ENSG00000135114 OASL
ENSG00000135127 BICDL1
ENSG00000135318 NT5E
ENSG00000135333 EPHA7
ENSG00000135362 PRR5L
ENSG00000135365 PHF21A
ENSG00000135373 EHF
ENSG00000135378 PRRG4
ENSG00000135480 KRT7
ENSG00000135821 GLUL
ENSG00000135919 SERPINE2
ENSG00000135924 DNAJB2
ENSG00000135925 WNT10A
ENSG00000136235 GPNMB
ENSG00000136379 ABHD17C
ENSG00000136689 IL1RN
ENSG00000136869 TLR4
ENSG00000136933 RABEPK
ENSG00000136943 CTSV
ENSG00000137124 ALDH1B1
ENSG00000137216 TMEM63B
ENSG00000137266 SLC22A23
ENSG00000137331 IER3
ENSG00000137440 FGFBP1
ENSG00000137628 DDX60
ENSG00000137699 TRIM29
ENSG00000137747 TMPRSS13
ENSG00000137767 SQOR
ENSG00000137801 THBS1
ENSG00000137857 DUOX1
ENSG00000137936 BCAR3
ENSG00000137959 IFI44L
ENSG00000137962 ARHGAP29
ENSG00000137965 IFI44
ENSG00000137975 CLCA2
ENSG00000138162 TACC2
ENSG00000138356 AOX1
ENSG00000138496 PARP9
ENSG00000138623 SEMA7A
ENSG00000138642 HERC6
ENSG00000138646 HERC5
ENSG00000138771 SHROOM3
ENSG00000138772 ANXA3
ENSG00000139112 GABARAPL1
ENSG00000139289 PHLDA1
ENSG00000139318 DUSP6
ENSG00000139625 MAP3K12
ENSG00000139880 CDH24
ENSG00000140022 STON2
ENSG00000140254 DUOXA1
ENSG00000140396 NCOA2
ENSG00000140848 CPNE2
ENSG00000140853 NLRC5
ENSG00000140859 KIFC3
ENSG00000141401 IMPA2
ENSG00000141574 SECTM1
ENSG00000141579 ZNF750
ENSG00000141655 TNFRSF11A
ENSG00000142002 DPP9
ENSG00000142619 PADI3
ENSG00000142627 EPHA2
ENSG00000142632 ARHGEF19
ENSG00000142677 IL22RA1
ENSG00000142798 HSPG2
ENSG00000142910 TINAGL1
ENSG00000143126 CELSR2
ENSG00000143217 NECTIN4
ENSG00000143314 MRPL24
ENSG00000143320 CRABP2
ENSG00000143369 ECM1
ENSG00000143384 MCL1
ENSG00000143416 SELENBP1
ENSG00000143515 ATP8B2
ENSG00000143669 LYST
ENSG00000143819 EPHX1
ENSG00000143845 ETNK2
ENSG00000143850 PLEKHA6
ENSG00000143878 RHOB
ENSG00000144136 SLC20A1
ENSG00000144583 MARCHF4
ENSG00000144724 PTPRG
ENSG00000144749 LRIG1
ENSG00000144810 COL8A1
ENSG00000145147 SLIT2
ENSG00000145220 LYAR
ENSG00000145287 PLAC8
ENSG00000145675 PIK3R1
ENSG00000145687 SSBP2
ENSG00000146278 PNRC1
ENSG00000146376 ARHGAP18
ENSG00000147010 SH3KBP1
ENSG00000147394 ZNF185
ENSG00000147459 DOCK5
ENSG00000147883 CDKN2B
ENSG00000148154 UGCG
ENSG00000148400 NOTCH1
ENSG00000148426 PROSER2
ENSG00000148468 FAM171A1
ENSG00000148700 ADD3
ENSG00000148730 EIF4EBP2
ENSG00000148926 ADM
ENSG00000149043 SYT8
ENSG00000149212 SESN3
ENSG00000149328 GLB1L2
ENSG00000149948 HMGA2
ENSG00000150347 ARID5B
ENSG00000150593 PDCD4
ENSG00000150630 VEGFC
ENSG00000150687 PRSS23
ENSG00000150938 CRIM1
ENSG00000151388 ADAMTS12
ENSG00000151576 QTRT2
ENSG00000151632 AKR1C2
ENSG00000151651 ADAM8
ENSG00000151726 ACSL1
ENSG00000151914 DST
ENSG00000152056 AP1S3
ENSG00000152284 TCF7L1
ENSG00000152495 CAMK4
ENSG00000152818 UTRN
ENSG00000153029 MR1
ENSG00000153094 BCL2L11
ENSG00000153246 PLA2R1
ENSG00000153317 ASAP1
ENSG00000153551 CMTM7
ENSG00000153904 DDAH1
ENSG00000154127 UBASH3B
ENSG00000154134 ROBO3
ENSG00000154319 FAM167A
ENSG00000154734 ADAMTS1
ENSG00000154764 WNT7A
ENSG00000155287 SLC25A28
ENSG00000155363 MOV10
ENSG00000155850 SLC26A2
ENSG00000156011 PSD3
ENSG00000156113 KCNMA1
ENSG00000156463 SH3RF2
ENSG00000156650 KAT6B
ENSG00000156671 SAMD8
ENSG00000157216 SSBP3
ENSG00000157514 TSC22D3
ENSG00000157538 VPS26C
ENSG00000157554 ERG
ENSG00000157557 ETS2
ENSG00000157570 TSPAN18
ENSG00000157601 MX1
ENSG00000157617 C2CD2
ENSG00000157654 PALM2AKAP2
ENSG00000158055 GRHL3
ENSG00000158246 TENT5B
ENSG00000158292 GPR153
ENSG00000158715 SLC45A3
ENSG00000159348 CYB5R1
ENSG00000159388 BTG2
ENSG00000159403 C1R
ENSG00000160193 WDR4
ENSG00000160685 ZBTB7B
ENSG00000160712 IL6R
ENSG00000160796 NBEAL2
ENSG00000160877 NACC1
ENSG00000161642 ZNF385A
ENSG00000161653 NAGS
ENSG00000162105 SHANK2
ENSG00000162545 CAMK2N1
ENSG00000162552 WNT4
ENSG00000162738 VANGL2
ENSG00000162772 ATF3
ENSG00000163082 SGPP2
ENSG00000163235 TGFA
ENSG00000163283 ALPP
ENSG00000163297 ANTXR2
ENSG00000163346 PBXIP1
ENSG00000163347 CLDN1
ENSG00000163362 INAVA
ENSG00000163399 ATP1A1
ENSG00000163430 FSTL1
ENSG00000163435 ELF3
ENSG00000163453 IGFBP7
ENSG00000163472 TMEM79
ENSG00000163513 TGFBR2
ENSG00000163531 NFASC
ENSG00000163629 PTPN13
ENSG00000163701 IL17RE
ENSG00000163874 ZC3H12A
ENSG00000164056 SPRY1
ENSG00000164171 ITGA2
ENSG00000164236 ANKRD33B
ENSG00000164292 RHOBTB3
ENSG00000164543 STK17A
ENSG00000164574 GALNT10
ENSG00000164687 FABP5
ENSG00000164855 TMEM184A
ENSG00000164938 TP53INP1
ENSG00000165238 WNK2
ENSG00000165271 NOL6
ENSG00000165272 AQP3
ENSG00000165312 OTUD1
ENSG00000165389 SPTSSA
ENSG00000165474 GJB2
ENSG00000165548 TMEM63C
ENSG00000165802 NSMF
ENSG00000165861 ZFYVE1
ENSG00000165949 IFI27
ENSG00000166033 HTRA1
ENSG00000166068 SPRED1
ENSG00000166272 WBP1L
ENSG00000166342 NETO1
ENSG00000166535 A2ML1
ENSG00000166582 CENPV
ENSG00000166741 NNMT
ENSG00000166833 NAV2
ENSG00000166897 ELFN2
ENSG00000167535 CACNB3
ENSG00000167549 CORO6
ENSG00000167656 LY6D
ENSG00000167741 GGT6
ENSG00000167754 KLK5
ENSG00000167767 KRT80
ENSG00000167772 ANGPTL4
ENSG00000167779 IGFBP6
ENSG00000167964 RAB26
ENSG00000168071 CCDC88B
ENSG00000168386 FILIP1L
ENSG00000168389 MFSD2A
ENSG00000168398 BDKRB2
ENSG00000168453 HR
ENSG00000168528 SERINC2
ENSG00000168610 STAT3
ENSG00000168615 ADAM9
ENSG00000168743 NPNT
ENSG00000168785 TSPAN5
ENSG00000168907 PLA2G4F
ENSG00000169213 RAB3B
ENSG00000169247 SH3TC2
ENSG00000169252 ADRB2
ENSG00000169435 RASSF6
ENSG00000169469 SPRR1B
ENSG00000169504 CLIC4
ENSG00000169908 TM4SF1
ENSG00000169926 KLF13
ENSG00000169991 IFFO2
ENSG00000170271 FAXDC2
ENSG00000170345 FOS
ENSG00000170421 KRT8
ENSG00000170445 HARS1
ENSG00000170477 KRT4
ENSG00000170581 STAT2
ENSG00000170835 CEL
ENSG00000170873 MTSS1
ENSG00000170899 GSTA4
ENSG00000171219 CDC42BPG
ENSG00000171223 JUNB
ENSG00000171246 NPTX1
ENSG00000171401 KRT13
ENSG00000171444 MCC
ENSG00000171462 DLK2
ENSG00000171522 PTGER4
ENSG00000171552 BCL2L1
ENSG00000171587 DSCAM
ENSG00000171604 CXXC5
ENSG00000171617 ENC1
ENSG00000171862 PTEN
ENSG00000171877 FRMD5
ENSG00000171903 CYP4F11
ENSG00000171992 SYNPO
ENSG00000172548 NIPAL4
ENSG00000172818 OVOL1
ENSG00000172819 RARG
ENSG00000172831 CES2
ENSG00000172936 MYD88
ENSG00000172965 MIR4435-2HG
ENSG00000172985 SH3RF3
ENSG00000173193 PARP14
ENSG00000173210 ABLIM3
ENSG00000173267 SNCG
ENSG00000173530 TNFRSF10D
ENSG00000173546 CSPG4
ENSG00000173805 HAP1
ENSG00000173846 PLK3
ENSG00000174564 IL20RB
ENSG00000175130 MARCKSL1
ENSG00000175592 FOSL1
ENSG00000175793 SFN
ENSG00000175832 ETV4
ENSG00000175984 DENND2C
ENSG00000176014 TUBB6
ENSG00000176046 NUPR1
ENSG00000176092 CRYBG2
ENSG00000176387 HSD11B2
ENSG00000177169 ULK1
ENSG00000177311 ZBTB38
ENSG00000177508 IRX3
ENSG00000177606 JUN
ENSG00000177706 FAM20C
ENSG00000178104 PDE4DIP
ENSG00000178685 PARP10
ENSG00000178814 OPLAH
ENSG00000179046 TRIML2
ENSG00000179163 FUCA1
ENSG00000179242 CDH4
ENSG00000179431 FJX1
ENSG00000179604 CDC42EP4
ENSG00000179820 MYADM
ENSG00000179846 NKPD1
ENSG00000179862 CITED4
ENSG00000179913 B3GNT3
ENSG00000180336 MEIOC
ENSG00000180353 HCLS1
ENSG00000180398 MCFD2
ENSG00000180638 SLC47A2
ENSG00000180739 S1PR5
ENSG00000182004 SNRPE
ENSG00000182253 SYNM
ENSG00000182379 NXPH4
ENSG00000182389 CACNB4
ENSG00000182492 BGN
ENSG00000182578 CSF1R
ENSG00000182580 EPHB3
ENSG00000182718 ANXA2
ENSG00000182782 HCAR2
ENSG00000183010 PYCR1
ENSG00000183111 ARHGEF37
ENSG00000183287 CCBE1
ENSG00000183421 RIPK4
ENSG00000183486 MX2
ENSG00000183688 RFLNB
ENSG00000183696 UPP1
ENSG00000183734 ASCL2
ENSG00000183762 KREMEN1
ENSG00000183876 ARSI
ENSG00000183963 SMTN
ENSG00000184220 CMSS1
ENSG00000184254 ALDH1A3
ENSG00000184564 SLITRK6
ENSG00000184574 LPAR5
ENSG00000184792 OSBP2
ENSG00000184916 JAG2
ENSG00000185070 FLRT2
ENSG00000185100 ADSS1
ENSG00000185432 METTL7A
ENSG00000185479 KRT6B
ENSG00000185483 ROR1
ENSG00000185507 IRF7
ENSG00000185551 NR2F2
ENSG00000185561 TLCD2
ENSG00000185567 AHNAK2
ENSG00000185585 OLFML2A
ENSG00000185630 PBX1
ENSG00000185745 IFIT1
ENSG00000185885 IFITM1
ENSG00000185909 KLHDC8B
ENSG00000186081 KRT5
ENSG00000186350 RXRA
ENSG00000186395 KRT10
ENSG00000186529 CYP4F3
ENSG00000186635 ARAP1
ENSG00000186642 PDE2A
ENSG00000186832 KRT16
ENSG00000186847 KRT14
ENSG00000187091 PLCD1
ENSG00000187134 AKR1C1
ENSG00000187244 BCAM
ENSG00000187498 COL4A1
ENSG00000187678 SPRY4
ENSG00000187720 THSD4
ENSG00000187840 EIF4EBP1
ENSG00000188042 ARL4C
ENSG00000188549 CCDC9B
ENSG00000188921 HACD4
ENSG00000189221 MAOA
ENSG00000189410 SH2D5
ENSG00000196074 SYCP2
ENSG00000196139 AKR1C3
ENSG00000196218 RYR1
ENSG00000196411 EPHB4
ENSG00000196517 SLC6A9
ENSG00000196950 SLC39A10
ENSG00000197043 ANXA6
ENSG00000197093 GAL3ST4
ENSG00000197183 NOL4L
ENSG00000197261 C6orf141
ENSG00000197457 STMN3
ENSG00000197461 PDGFA
ENSG00000197641 SERPINB13
ENSG00000197971 MBP
ENSG00000198121 LPAR1
ENSG00000198157 HMGN5
ENSG00000198363 ASPH
ENSG00000198431 TXNRD1
ENSG00000198728 LDB1
ENSG00000198729 PPP1R14C
ENSG00000198732 SMOC1
ENSG00000198768 APCDD1L
ENSG00000198900 TOP1
ENSG00000198910 L1CAM
ENSG00000198959 TGM2
ENSG00000203697 CAPN8
ENSG00000204060 FOXO6
ENSG00000204103 MAFB
ENSG00000204186 ZDBF2
ENSG00000204219 TCEA3
ENSG00000204262 COL5A2
ENSG00000204516 MICB
ENSG00000204767 INSYN2B
ENSG00000205413 SAMD9
ENSG00000205420 KRT6A
ENSG00000205488 CALML3-AS1
ENSG00000205542 TMSB4X
ENSG00000213190 MLLT11
ENSG00000213694 S1PR3
ENSG00000213903 LTB4R
ENSG00000214193 SH3D21
ENSG00000214357 NEURL1B
ENSG00000214655 ZSWIM8
ENSG00000214706 IFRD2
ENSG00000222041 CYTOR
ENSG00000223573 TINCR
ENSG00000223784 LINP1
ENSG00000224078 SNHG14
ENSG00000224259 LINC01133
ENSG00000225383 SFTA1P
ENSG00000226145 KRT16P6
ENSG00000231131 LNCAROD
ENSG00000239672 NME1
ENSG00000240668 KRT8P36
ENSG00000241749 RPSAP52
ENSG00000242779 ZNF702P
ENSG00000244405 ETV5
ENSG00000254166 CASC19
ENSG00000254285 KRT8P3
ENSG00000260604 AL590004.3
ENSG00000261150 EPPK1
ENSG00000264230 ANXA8L1
ENSG00000265190 ANXA8
ENSG00000265972 TXNIP
ENSG00000267519 AC020916.1
ENSG00000271447 MMP28
ENSG00000272398 CD24
ENSG00000272620 AFAP1-AS1
ENSG00000275216 AL161431.1
ENSG00000276600 RAB7B
ENSG00000277586 NEFL
ENSG00000000971 CFH
ENSG00000001561 ENPP4
ENSG00000001630 CYP51A1
ENSG00000002079 MYH16
ENSG00000002587 HS3ST1
ENSG00000003096 KLHL13
ENSG00000003147 ICA1
ENSG00000004660 CAMKK1
ENSG00000004777 ARHGAP33
ENSG00000004799 PDK4
ENSG00000006025 OSBPL7
ENSG00000008323 PLEKHG6
ENSG00000008405 CRY1
ENSG00000010438 PRSS3
ENSG00000010704 HFE
ENSG00000013288 MAN2B2
ENSG00000014914 MTMR11
ENSG00000016391 CHDH
ENSG00000027869 SH2D2A
ENSG00000036672 USP2
ENSG00000038295 TLL1
ENSG00000039139 DNAH5
ENSG00000041353 RAB27B
ENSG00000048740 CELF2
ENSG00000050555 LAMC3
ENSG00000053108 FSTL4
ENSG00000053524 MCF2L2
ENSG00000055163 CYFIP2
ENSG00000057149 SERPINB3
ENSG00000058091 CDK14
ENSG00000058335 RASGRF1
ENSG00000061337 LZTS1
ENSG00000061938 TNK2
ENSG00000064270 ATP2C2
ENSG00000064687 ABCA7
ENSG00000065600 PACC1
ENSG00000065923 SLC9A7
ENSG00000066629 EML1
ENSG00000066923 STAG3
ENSG00000068615 REEP1
ENSG00000068971 PPP2R5B
ENSG00000069011 PITX1
ENSG00000069702 TGFBR3
ENSG00000070731 ST6GALNAC2
ENSG00000070759 TESK2
ENSG00000071575 TRIB2
ENSG00000072201 LNX1
ENSG00000074590 NUAK1
ENSG00000074855 ANO8
ENSG00000074964 ARHGEF10L
ENSG00000075651 PLD1
ENSG00000075826 SEC31B
ENSG00000078401 EDN1
ENSG00000079308 TNS1
ENSG00000080854 IGSF9B
ENSG00000081189 MEF2C
ENSG00000081237 PTPRC
ENSG00000082497 SERTAD4
ENSG00000084676 NCOA1
ENSG00000085185 BCORL1
ENSG00000085276 MECOM
ENSG00000087128 TMPRSS11E
ENSG00000087301 TXNDC16
ENSG00000088002 SULT2B1
ENSG00000088727 KIF9
ENSG00000088808 PPP1R13B
ENSG00000088826 SMOX
ENSG00000088899 LZTS3
ENSG00000089199 CHGB
ENSG00000089356 FXYD3
ENSG00000090263 MRPS33
ENSG00000090661 CERS4
ENSG00000092096 SLC22A17
ENSG00000092969 TGFB2
ENSG00000095370 SH2D3C
ENSG00000095587 TLL2
ENSG00000095794 CREM
ENSG00000099139 PCSK5
ENSG00000099260 PALMD
ENSG00000099377 HSD3B7
ENSG00000100033 PRODH
ENSG00000100077 GRK3
ENSG00000100100 PIK3IP1
ENSG00000100142 POLR2F
ENSG00000100154 TTC28
ENSG00000100311 PDGFB
ENSG00000100739 BDKRB1
ENSG00000100867 DHRS2
ENSG00000100889 PCK2
ENSG00000100918 REC8
ENSG00000101298 SNPH
ENSG00000101460 MAP1LC3A
ENSG00000101665 SMAD7
ENSG00000101680 LAMA1
ENSG00000101825 MXRA5
ENSG00000101955 SRPX
ENSG00000102057 KCND1
ENSG00000102243 VGLL1
ENSG00000102349 KLF8
ENSG00000102359 SRPX2
ENSG00000102409 BEX4
ENSG00000102445 RUBCNL
ENSG00000102879 CORO1A
ENSG00000102886 GDPD3
ENSG00000102897 LYRM1
ENSG00000102967 DHODH
ENSG00000103145 HCFC1R1
ENSG00000103490 PYCARD
ENSG00000103534 TMC5
ENSG00000103888 CEMIP
ENSG00000104140 RHOV
ENSG00000104154 SLC30A4
ENSG00000104219 ZDHHC2
ENSG00000104267 CA2
ENSG00000104524 PYCR3
ENSG00000104689 TNFRSF10A
ENSG00000105204 DYRK1B
ENSG00000105255 FSD1
ENSG00000105290 APLP1
ENSG00000105327 BBC3
ENSG00000105419 MEIS3
ENSG00000105426 PTPRS
ENSG00000105514 RAB3D
ENSG00000105516 DBP
ENSG00000105519 CAPS
ENSG00000105523 FAM83E
ENSG00000105612 DNASE2
ENSG00000105865 DUS4L
ENSG00000105889 STEAP1B
ENSG00000106025 TSPAN12
ENSG00000106066 CPVL
ENSG00000106089 STX1A
ENSG00000106327 TFR2
ENSG00000106477 CEP41
ENSG00000106992 AK1
ENSG00000107485 GATA3
ENSG00000107864 CPEB3
ENSG00000108176 DNAJC12
ENSG00000108479 GALK1
ENSG00000108771 DHX58
ENSG00000108797 CNTNAP1
ENSG00000108932 SLC16A6
ENSG00000108984 MAP2K6
ENSG00000109193 SULT1E1
ENSG00000109220 CHIC2
ENSG00000109534 GAR1
ENSG00000110031 LPXN
ENSG00000110042 DTX4
ENSG00000110427 KIAA1549L
ENSG00000110628 SLC22A18
ENSG00000110693 SOX6
ENSG00000110881 ASIC1
ENSG00000111012 CYP27B1
ENSG00000111249 CUX2
ENSG00000111266 DUSP16
ENSG00000111432 FZD10
ENSG00000111653 ING4
ENSG00000111696 NT5DC3
ENSG00000111801 BTN3A3
ENSG00000111816 FRK
ENSG00000111859 NEDD9
ENSG00000111981 ULBP1
ENSG00000112541 PDE10A
ENSG00000112559 MDFI
ENSG00000112561 TFEB
